postcode,,,,street_num,,city,State,name,phone,email,,website,Source,Latitude,Longitude
04915,,,,123 High Street,,Belfast,ME,Belfast Community Co-op,(207) 338-2532,,,http://www.belfast.coop,https://www.ncg.coop/,44.43240541,-69.015478053
94704,,,,2440 Bancroft Way,,Berkeley,CA,Berkeley Student Food Collective,510 845-1985,,,Food for change,,37.871114339,-122.2686746
01230,,,,34 Bridge Street,,Great Barrington,MA,Berkshire Food Co-op,(413) 528-9697,community@berkshire.coop,,http://www.berkshire.coop,https://www.ncg.coop/,42.199212811,-73.358075888
20818,,,,6500SevenLocksRoad,,"Cabin John, Maryland",MD,BethesdaCo-op,301-320-2530,http://www.bethesdacoop.org,,https://www.nationalco-opdirectory.com,,38.975295386,-77.160376763
43209,,,,508 North Cassady Avenue,,Columbus,OH,Bexley Natural Market,614 252-3951,http://www.bexleynaturalmarket.org,,Food for change,,39.956391774,-82.929621367
82070,,,,119 South 1st Street,,Laramie,WY,Big Hollow Food Co-op,307 745-3586,http://www.laramiecoop.com,,Food for change,,41.297709467,-105.565372869
85603,,,,72 Erie Street,,Bisbee,AZ,Bisbee Food Co-op,520 432-4011,,Closed per National Co-op Dir,Food for change,,31.416449489,-109.902774293
47401,,,,3220 East 3rd Street,,Bloomington,IN,Bloomingfoods Co-op Market (East 3rd Street),(812) 336-5400,http://www.bloomingfoods.coop,,http://www.bloomingfoods.coop,https://www.ncg.coop/,39.141092324,-86.499057626
47404,,,,316 West 6th Street,,Bloomington,IN,Bloomingfoods Co-op Market (West 6th Street),(812) 333-7312,http://www.bloomingfoods.coop,,http://www.bloomingfoods.coop,https://www.ncg.coop/,39.203645983,-86.579316129
47404,,,,117 South Gentry Street,,Bloomington,IN,Bloomingfoods Market & Deli,812 339-4442,http://www.bloomingfoods.coop,,Food for change,,39.203645983,-86.579316129
47404,,,,200DanielsWay,,Bloomington,IN,BloomingfoodsMarket&Deli(3Stores&Office)•IvyTechLocation,812-822-0143,http://www.bloomingfoods.coop,,https://www.nationalco-opdirectory.com,,39.203645983,-86.579316129
04614,,,,70 South Street,,Blue Hill,ME,Blue Hill Co-op,(207) 374-2165,info@bluehill.coop,,http://www.bluehill.coop,https://www.ncg.coop/,44.422564634,-68.584145341
55987,,,,121 West 2nd Street,,Winona,MN,Bluff Country Co-op,(507) 452-1815,bccoop@bluff.coop,,http://www.bluff.coop,https://www.ncg.coop/,44.046430806,-91.657343252
55987,,,,121W2ndStreet,,"Winona, Minnesota",MN,BluffCountryCo-op,507-452-1815,http://www.bluff.coop,,https://www.nationalco-opdirectory.com,,44.046430806,-91.657343252
83702,,,,888 West Fort Street,,Boise,ID,Boise Consumer Cooperative,208 472-4500,,,Food for change,,43.628565584,-116.206960675
83702,,,,888 West Fort Street,,Boise,ID,Boise Co-op (North End),(208) 472-4500,,,http://www.boise.coop,https://www.ncg.coop/,43.628565584,-116.206960675
83646,,,,2350 N. Eagle Road,,Meridian,ID,Boise Co-op (The Village),(208) 809-2200,,,http://www.boise.coop,https://www.ncg.coop/,43.641131923,-116.407362331
83702,,,,888W.FortStreet,,"Boise, Idaho",ID,BoiseConsumerCo-op(2Stores)•BoiseCo-opNorthEnd,208-472-4500,http://www.boise.coop,,https://www.nationalco-opdirectory.com,,43.628565584,-116.206960675
83646,,,,2350NEagleRd,,"Meridian, Idaho",ID,BoiseConsumerCo-op(2Stores)•BoiseCo-opTheVillage,208-809-2200,http://www.boise.coop,,https://www.nationalco-opdirectory.com,,43.641131923,-116.407362331
05301,,,,2 Main Street,,Brattleboro,VT,Brattleboro Food Co-op,(802) 257-0236,,,http://www.brattleborofoodcoop.coop,https://www.ncg.coop/,42.852835036,-72.641717158
05301,,,,2MainSt,,"Brattleboro, Vermont",VT,BrattleboroFoodCo-op,802-257-0236,http://www.brattleborofoodcoop.coop,,https://www.nationalco-opdirectory.com,,42.852835036,-72.641717158
32310,,,,915 RailRoad Ave,,Tallahassee,FL,Bread and Roses Food Cooperative,850 425-8486,,,Food for change,,30.41842211,-84.372473742
57701,,,,100 East Boulevard North,,Rapid City,SD,Breadroot Natural Foods Co-op,(605) 348-3331,,,https://www.breadroot.com/,https://www.ncg.coop/,44.081104263,-103.215329869
57701,,,,100EastBlvdN.,,"Rapid City, South Dakota",SD,BreadrootNaturalFoodsCooperative,605-348-3331,http://www.breadroot.com,,https://www.nationalco-opdirectory.com,,44.081104263,-103.215329869
95945,,,,290 Sierra College Drive,,GrassValley,CA,BriarPatch Co-op,530 272-5333,,,Food for change,,39.218669637,-121.049152232
95945,,,,290 Sierra College Drive,,Grass Valley,CA,BriarPatch Food Co-op,(530) 272-5333,,,http://www.briarpatch.coop,https://www.ncg.coop/,39.218669637,-121.049152232
95945,,,,290SierraCollegeDrive,,"Grass Valley, California",CA,BriarPatchFoodCo-op,530-272-5333,http://www.briarpatch.coop,,https://www.nationalco-opdirectory.com,,39.218669637,-121.049152232
05843,,,,30 South Main Street,,Hardwick,VT,Buffalo Mountain Co-op,802 472-6020,,,Food for change,,44.501148745,-72.364433094
05843,,,,75MillStreet,,"Hardwick, Vermont",VT,BuffaloMountainFoodCo-op,802-472-6677,http://www.buffalomountaincoop.org,,https://www.nationalco-opdirectory.com,,44.501148745,-72.364433094
11237,,,,2PorterAve.,,Brooklyn,NY,BushwickFoodCooperative(Closed),347-450-1087,http://www.bushwickfoodcoop.org,,https://www.nationalco-opdirectory.com,,40.701286569,-73.918281769
12816,,,,1WestMainStreet,,"Cambridge, Massachusetts",NY,CambridgeFoodCo-op,518-677-5731,http://cambridgefoodcoop.com,,https://www.nationalco-opdirectory.com,,43.046594471,-73.383611576
81623,,,,559 Main Street,,Carbondale,CO,Carbondale Community Food,970 963-1375,,,Food for change,,39.34355549,-107.206191481
81623,,,,559MainStreet,,"Carbondale, Illinois",CO,CarbondaleCommunityFoodCooperative(CLOSED),970-963-1375,http://www.carbondalecommunityfoodcoop.org,,https://www.nationalco-opdirectory.com,,39.34355549,-107.206191481
98122,,,,1600 E Madison St,,Seattle,WA,Central Co-op,206 329-1545,,,Food for change,,47.610829552,-122.303633109
98122,,,,1600 East Madison Street,,Seattle,WA,Central Co-op (Seattle),(206) 329-1545,,,http://www.centralcoop.coop,https://www.ncg.coop/,47.610829552,-122.303633109
98407,,,,4502 North Pearl Street,,Tacoma,WA,Central Co-op (Tacoma),(206) 329-1545,,,http://www.centralcoop.coop,https://www.ncg.coop/,47.282825743,-122.512761343
77008,,,,2515HarvardSt,,Houston,TX,CentralCityCo-op,832-690-1216,https://centralcitycoop.company.site/,,https://www.nationalco-opdirectory.com,,29.797802137,-95.418998762
98122,,,,1600EastMadison,,Seattle,WA,CentralCo-op,206-329-1545,http://www.centralcoop.coop,,https://www.nationalco-opdirectory.com,,47.610829552,-122.303633109
27312,,,,480 Hillsboro Street,,Pittsboro,NC,Chatham Marketplace,(919) 542-2643,,,http://www.chathammarketplace.coop,https://www.ncg.coop/,35.765330383,-79.168928399
12037,,,,15 Church St.,,Chatham,NY,Chatham Real Food Co-op,518-392-3353,,,Food for change,,42.350182361,-73.583609587
27312,,,,480HillsboroStreetSte320,,"Pittsboro, North Carolina",NC,ChathamMarketplace,919-542-2643,http://chathammarketplace.coop,,https://www.nationalco-opdirectory.com,,35.765330383,-79.168928399
12037,,,,15ChurchStreet,,"Chatham County, North Carolina",NY,ChathamRealFoodMarketCo-op,518-392-3353,http://www.chatham.coop,,https://www.nationalco-opdirectory.com,,42.350182361,-73.583609587
54806,,,,700 Main Street West,,Ashland,WI,Chequamegon Food Co-op,(715) 682-8251,outreach@cheqfood.coop,,http://www.chequamegonfoodcoop.com,https://www.ncg.coop/,46.581146206,-90.916169714
54806,,,,700MainStreetWest,,"Ashland County, Wisconsin",WI,ChequamegonFoodCo-op,715-682-8251,http://www.chequamegonfoodcoop.com,,https://www.nationalco-opdirectory.com,,46.581146206,-90.916169714
95928,,,,818 Main Street,,Chico,CA,Chico Natural Food,530 891-1713,,,Food for change,,39.725372159,-121.832768964
95928,,,,818 Main Street,,Chico,CA,Chico Natural Foods Cooperative,(530) 891-1713,news@chiconatural.com,,http://www.chiconaturalfoods.coop,https://www.ncg.coop/,39.725372159,-121.832768964
95928,,,,818MainStreet,,"Chico, California",CA,ChicoNaturalFoods,530-891-1713,http://www.chiconatural.com,,https://www.nationalco-opdirectory.com,,39.725372159,-121.832768964
32601,,,,435 S Main St.,,Gainesville,FL,Citizen's Co-op,352 505-6575,,,Food for change,,29.648905865,-82.326475645
55008,,,,122 North Buchanan Street,,Cambridge,MN,City Center Market,(763) 689-4640,theco-op@citycentermarket.coop,,http://www.citycentermarket.coop/,https://www.ncg.coop/,45.558003022,-93.231577644
63118,,,,2639 Cherokee Street,,St.Louis,MO,City Food Co-op,314 865-0567,,,Food for change,,38.595856414,-90.226754949
05401,,,,82 South Winooski Avenue,,Burlington,VT,City Market,802 861-9700,,,Food for change,,44.474842637,-73.21103245
05401,,,,82 South Winooski Avenue,,Burlington,VT,City Market/Onion River Co-op (Downtown),(802) 861-9700,,,http://www.citymarket.coop,https://www.ncg.coop/,44.474842637,-73.21103245
05401,,,,207 Flynn Avenue,,Burlington,VT,City Market/Onion River Co-op (South End),(802) 540-6400,,,http://www.citymarket.coop,https://www.ncg.coop/,44.474842637,-73.21103245
55008,,,,122N.BuchananStreet,,"Cambridge, Massachusetts",MN,CityCenterMarketFoodCo-op&Deli,763-689-4640,http://www.citycentermarket.coop/,,https://www.nationalco-opdirectory.com,,45.558003022,-93.231577644
47901,,,,634MainSt,,"Lafayette, Louisiana",IN,CityFoods(Closed),765-746-6903,http://www.cityfoods.org,,https://www.nationalco-opdirectory.com,,40.415924028,-86.884378952
05401,,,,82SWinooskiAve,,"Burlington, Vermont",VT,CityMarketOnionRiverCo-op(2stores)•Downtown,802-861-9700,http://www.citymarket.coop,,https://www.nationalco-opdirectory.com,,44.474842637,-73.21103245
05401,,,,207FlynnAvenue,,"Burlington, Vermont",VT,CityMarketOnionRiverCo-op(2stores)•SouthEnd,802-540-6400,http://www.citymarket.coop,,https://www.nationalco-opdirectory.com,,44.474842637,-73.21103245
13624,,,,720JamesSt,,"Clayton, California",NY,ClaytonFoodCo-op(CLOSED),315-686-3242,http://www.claytonfood.com,,https://www.nationalco-opdirectory.com,,44.232582598,-76.087861506
47374,,,,710 East Main Street,,Richmond,IN,Clear Creek Food Co-op,765 939-4390,,,Food for change,,39.829394161,-84.889507899
47202,,,,1580CentralAve,,"Columbus, Ohio",IN,ColumbusFoodCo-op(CLOSED),812-343-3588,http://www.columbusmarket.coop,,https://www.nationalco-opdirectory.com,,,
61801,,,,300 South Broadway Avenue,,Urbana,IL,Common Ground Food Co-op,(217) 352-3347,info@commonground.coop,,http://www.commonground.coop,https://www.ncg.coop/,40.108556986,-88.21273462
,,,,300S.BroadwayAve.,,"Urbana, Illinois",IL,CommonGroundFoodCo-op,217-352-3347,N/A,,https://www.nationalco-opdirectory.com,,,
13365,,,,589 Albany Street,,LittleFalls,NY,Community Co-op,315 823-0686,,,Food for change,,43.053577991,-74.853869935
32301,,,,1235 Apalachee Parkway,,Tallahassee,FL,Community Co-op Market,(850) 399-2667,info@communitycoopmarket.coop,,http://www.communitycoopmarket.coop,https://www.ncg.coop/,30.435411708,-84.253875188
59715,,,,908 West Main Street,,Bozeman,MT,Community Food Co-op,406 587-4039,,,Food for change,,45.685106985,-111.050200127
98226,,,,315 Westerly Road,,Bellingham,WA,Community Food Co-op - Bellingham (Cordata),(360) 734-8158,info@communityfood.coop,,http://www.communityfood.coop,https://www.ncg.coop/,48.787296259,-122.468414711
98225,,,,1220 North Forest Street,,Bellingham,WA,Community Food Co-op - Bellingham (Forest),(360) 734-8158,info@communityfood.coop,,http://www.communityfood.coop,https://www.ncg.coop/,48.74937071,-122.480261624
59715,,,,44 East Main Street,,Bozeman,MT,Community Food Co-op - Bozeman (Downtown),(406) 922-2667,info@bozo.coop,,http://www.bozo.coop,https://www.ncg.coop/,45.685106985,-111.050200127
59715,,,,908 West Main St.,,Bozeman,MT,Community Food Co-op - Bozeman (West Main),(406) 587-4039,info@bozo.coop,,http://www.bozo.coop,https://www.ncg.coop/,45.685106985,-111.050200127
98226,,,,315 Westerly Road,,Bellingham,WA,Community Food Co-op Cordata,360 734-8158,,,Food for change,,48.787296259,-122.468414711
43202,,,,200 Crestview Road,,Columbus,OH,Community Market,614 261-3663,,,Food for change,,40.017766097,-83.011231416
95401,,,,1899 Mendocino Avenue,,Santa Rosa,CA,Community Market Natural Foods,707 546-1806,,,Food for change,,38.442965766,-122.741000198
13365,,,,589AlbanyStreet,,"Vader, Washington",NY,CommunityCo-op,315-823-0686,http://community-co-op.business.site/,,https://www.nationalco-opdirectory.com,,43.053577991,-74.853869935
32301,,,,1235ApalacheeParkway,,"Tallahassee, Florida",FL,CommunityCo-opMarket,(850)399-2667,http://www.communitycoopmarket.coop,,https://www.nationalco-opdirectory.com,,30.435411708,-84.253875188
98225,,,,1220NorthForestStreet,,"Bellingham, Washington",WA,CommunityFoodCo-op(2Stores&Bakery-cafe)•1stlocation,360-734-8158,http://www.communityfood.coop,,https://www.nationalco-opdirectory.com,,48.74937071,-122.480261624
98225,,,,405EastHollyStreet,,"Bellingham, Washington",WA,CommunityFoodCo-op(2Stores&Bakery-cafe)•2ndlocationBakery-café,360-734-8158,http://www.communityfood.coop,,https://www.nationalco-opdirectory.com,,48.74937071,-122.480261624
98226,,,,315WesterlyRoad,,"Bellingham, Washington",WA,CommunityFoodCo-op(2Stores&Bakery-cafe)•3rdlocation,360-734-8158,http://www.communityfood.coop,,https://www.nationalco-opdirectory.com,,48.787296259,-122.468414711
59715,,,,908W.MainStreet,,"Bozeman, Montana",MT,CommunityFoodCo-op(2stores)•1stlocation,406-587-4039,http://www.bozo.coop,,https://www.nationalco-opdirectory.com,,45.685106985,-111.050200127
59715,,,,44E.MainStreet,,"Bozeman, Montana",MT,CommunityFoodCo-op(2stores)•2ndlocation,406-922-2667,http://www.bozo.coop,,https://www.nationalco-opdirectory.com,,45.685106985,-111.050200127
95472,,,,6762SebastopolAve.,,"Sebastopol, California",CA,CommunityMarketNaturalFoods(2stores)•CommunityMarketattheBarlow,707-407-4020,https://www.cmnaturalfoods.com/,,https://www.nationalco-opdirectory.com,,38.406431155,-122.835239467
95401,,,,1899MendocinoAvenue,,"Santa Rosa, California",CA,CommunityMarketNaturalFoods(2stores)•CommunityMarketNaturalFoods,707-546-1806,http://www.cmnaturalfoods.com,,https://www.nationalco-opdirectory.com,,38.442965766,-122.741000198
27215,,,,268 E Front St.,,Burlington,NC,Company Shops Market,336 223-0384,,,Food for change,,36.068679587,-79.464411965
27215,,,,268EastFrontStreet,,"Burlington, Vermont",NC,CompanyShopsMarket(CLOSED),336-223-0390,http://www.CompanyshopsMarket.coop,,https://www.nationalco-opdirectory.com,,36.068679587,-79.464411965
03301,,,,24 South Main Street,,Concord,NH,Concord Cooperative Market & Celery Stick Cafe,603 225-6840,,,Food for change,,43.213789796,-71.531821762
03301,,,,24 South Main St.,,Concord,NH,Concord Food Co-op (Concord),(603) 225-6840,info@concordfoodcoop.coop,,http://www.concordfoodcoop.coop,https://www.ncg.coop/,43.213789796,-71.531821762
03257,,,,52 Newport Road,,New London,NH,Concord Food Co-op (New London),(603) 526-6650,info@concordfoodcoop.coop,,http://www.concordfoodcoop.coop,https://www.ncg.coop/,43.416338133,-71.994998761
03301,,,,24S.MainStreet,,"Concord, New Hampshire",NH,ConcordFoodCo-op,603-225-6840,http://www.concordfoodcoop.coop,,https://www.nationalco-opdirectory.com,,43.213789796,-71.531821762
03257,,,,52NewportRoad,,"New London, Minnesota",NH,ConcordFoodCo-opofNewLondon,603-526-6650,http://concordfoodcoop.coop/,,https://www.nationalco-opdirectory.com,,43.416338133,-71.994998761
55604,,,,20 East First Street,,Grand Marais,MN,Cook County Whole Foods Co-op,(218) 387-2503,info@cookcounty.coop,,http://www.cookcounty.coop,https://www.ncg.coop/,47.851600872,-90.329401483
55604,,,,20E.1stStreet,,"Grand Marais, Minnesota",MN,CookCountyWholeFoodsCo-op,218-387-2503,http://www.cookcounty.coop,,https://www.nationalco-opdirectory.com,,47.851600872,-90.329401483
03755,,,,45 South Park Street,,Hanover,NH,Co-op Food Store: Hanover,603 643-4889,,,Food for change,,43.705203304,-72.279782782
03766,,,,12 Centerra Parkway,,Lebanon,NH,Co-op Food Store: Lebanon,603 643-4889,,,Food for change,,43.645572112,-72.25238524
05001,,,,209 Maple Street,,White River Junction,VT,Co-op Food Store: White River Junction,802 295-3400,,,Food for change,,43.665144835,-72.366536217
99701,,,,526 Gaffney Road,,Fairbanks,AK,Co-op Market Grocery & Deli,(907) 457-1023,,,http://www.coopmarket.org/,https://www.ncg.coop/,64.816906406,-147.747434407
57104,,,,410 West 18th Street,,SiouxFalls,SD,Co-op Natural Foods,605 339-9506,,,Food for change,,43.559425668,-96.72796983
99701,,,,526GaffneyRoad,,"Fairbanks, Alaska",AK,Co-opMarketGrocery&Deli,907-457-1023,http://coopmarket.org/,,https://www.nationalco-opdirectory.com,,64.816906406,-147.747434407
90404,,,,1525 Broad way,,Santa Monica,CA,Co-opportunity,310 451-8902,,,Food for change,,34.028867953,-118.476301992
90232,,,,8770 Washington Blvd.,,Culver City,CA,Co-opportunity Market (Culver City),(323) 970-3060,service@coopportunity.com,,http://www.coopportunity.com,https://www.ncg.coop/,34.015426817,-118.395777076
90404,,,,1525 Broadway,,Santa Monica,CA,Co-opportunity Market (Santa Monica),(323) 990-7020,service@coopportunity.com,,http://www.coopportunity.com,https://www.ncg.coop/,34.028867953,-118.476301992
90404,,,,1525Broadway,,"Santa Monica, California",CA,Co-opportunityConsumersCo-op,323-990-7020,http://www.coopportunity.com,,https://www.nationalco-opdirectory.com,,34.028867953,-118.476301992
97459,,,,1960 Sherman Avenue,,North Bend,OR,Coos Head Food Store,541 756-7264,,,Food for change,,43.452488469,-124.229829062
97420,,,,353South2ndStreet,,"Coos Bay, Oregon",OR,CoosHeadFoodCo-op,541-756-7264,https://coosheadfood.coop/,,https://www.nationalco-opdirectory.com,,43.361647351,-124.21948167
95460,,,,45015 Ukiah Street,,Mendocino,CA,Corners of the Mouth,707 937-5345,,,Food for change,,39.326167994,-123.807372265
95460,,,,45015UkiahStreet,,"Mendocino County, California",CA,CornersoftheMouthNaturalFoods(worker’scollective),707-937-5345,http://www.cornersofthemouth.com/,,https://www.nationalco-opdirectory.com,,39.326167994,-123.807372265
56452,,,,409 Minnesota 371,,Hackensack,MN,Countryside Co-op,218 675-6865,,,Food for change,,46.9459115,-94.456157222
56452,,,,409Hwy#371South,,"Hackensack, Minnesota",MN,CountrysideCo-op,218-675-6865,http://www.countrysideco-op.com/,,https://www.nationalco-opdirectory.com,,46.9459115,-94.456157222
19027,,,,7909 High School Rd,,Elkins Park,PA,Creekside Co-op,215-557-4480,,,Food for change,,40.072951214,-75.127397507
,,,,TX,,,,CrossTimbersFoodCooperative(*NotaStorefront),N/A,http://www.crosstimberscoop.org,,https://www.nationalco-opdirectory.com,,,
56401,,,,720 Washington Street,,Brainerd,MN,Crow Wing Food Co-op,218 828-4600,,,Food for change,,46.356507644,-94.191755113
56401,,,,624LaurelStreet,,"Brainerd, Minnesota",MN,CrowWingFoodCo-op,218-828-4600,http://crowwingfoodco-op.com,,https://www.nationalco-opdirectory.com,,46.356507644,-94.191755113
30601,,,,523 Prince Avenue,,Athens,GA,Daily Groceries Co-op,(706) 548-1732,info@dailygroceries.org,,http://www.dailygroceries.org,https://www.ncg.coop/,33.975393849,-83.364825636
30601,,,,523PrinceAvenue,,"Athens, Georgia",GA,DailyGroceriesCo-op,706-548-1732,https://www.dailygroceries.org/,,https://www.nationalco-opdirectory.com,,33.975393849,-83.364825636
95616,,,,620 G Street,,Davis,CA,Davis Food Co-op,(530) 758-2667,,,http://www.davisfood.coop,https://www.ncg.coop/,38.547930552,-121.742866969
95616,,,,620GStreet,,"Davis, California",CA,DavisFoodCo-op,530-758-2667,http://www.davisfood.coop,,https://www.nationalco-opdirectory.com,,38.547930552,-121.742866969
27401,,,,600 North Eugene Street,,Greensboro,NC,Deep Roots Market,(336) 292-9216,,,http://www.deeprootsmarket.coop,https://www.ncg.coop/,36.071056599,-79.778919168
27401,,,,600N.EugeneSt.,,"Greensboro, North Carolina",NC,DeepRootsMarket,336-292-9216,http://www.deeprootsmarket.com,,https://www.nationalco-opdirectory.com,,36.071056599,-79.778919168
48221,,,,11000WestMcNicholsRoad,,Detroit,MI,DetroitPeople'sFoodCo-op,(833)373-2313,https://detroitpeoplesfoodcoop.com,,https://www.nationalco-opdirectory.com,,42.43101974,-83.14251005
60647,,,,2746 N. Milwaukee Avenue,,Chicago,IL,Dill Pickle Food Co-op,(773) 252-2667,,,http://www.dillpickle.coop,https://www.ncg.coop/,41.919627599,-87.698807273
60647,,,,2746NMilwaukeeAve,,Chicago,IL,DillPickleFoodCo-op,(773)252-COOP,https://dillpickle.coop/,,https://www.nationalco-opdirectory.com,,41.919627599,-87.698807273
87527,,,,215 New Mexico 75,,Dixon,NM,Dixon Cooperative Market,505 579-9625,,,Food for change,,36.202889814,-105.883503314
87527,,,,215Highway75,,"Dixon, Illinois",NM,DixonCooperativeMarket,505-579-9625,http://www.dixonmarket.com,,https://www.nationalco-opdirectory.com,,36.202889814,-105.883503314
02124,,,,Boston,,"Dorchester, Boston",MA,DorchesterCommunityFoodCo-op(*NotaStorefront),N/A,http://www.dorchesterfoodcoop.com,,https://www.nationalco-opdirectory.com,,42.286936655,-71.065812122
18901,,,,29W.StateSt.,,"Doylestown, Pennsylvania",PA,DoylestownFoodMarket(CLOSED),215-240-4215,http://www.doylestown.coop,,https://www.nationalco-opdirectory.com,,40.314643696,-75.126158962
18901,,,,29 W State St.,,Doylestown,PA,Doylston Food Co-op,215-348-4548,,,Food for change,,40.314643696,-75.126158962
52001,,,,955 Washington St #107,,Dubuque,IA,Dubuque Food Co-op,563 557-4400,,,Food for change,,42.511261798,-90.676834428
60115,,,,129 East Hillcrest Drive,,DeKalb,IL,Duck Soup Coop,815 756-7044,,,Food for change,,41.931164618,-88.754310863
81301,,,,575 East 8th Avenue,,Durango,CO,Durango Natural Foods Co-op,(970) 247-8129,,,http://www.durangonaturalfoods.coop,https://www.ncg.coop/,37.308899264,-107.866423649
81301,,,,575 East 8th Avenue,,Durango,CO,Durango Natural Foods Inc,970 247-8129,,,Food for change,,37.308899264,-107.866423649
81301,,,,575E8thAvenue,,Durango,CO,DurangoNaturalFoods,970-247-8129,http://www.durangonaturalfoods.coop,,https://www.nationalco-opdirectory.com,,37.308899264,-107.866423649
27701,,,,1111 West Chapel Hill Street,,Durham,NC,Durham Co-op Market,(919) 973-1707,info@durhamcentralmarket.org,,http://www.durham.coop,https://www.ncg.coop/,35.997256386,-78.896113956
27701,,,,1111WestChapelHillSt.,,"Durham, North Carolina",NC,DurhamCo-opMarket,919.973.1707,http://www.durham.coop,,https://www.nationalco-opdirectory.com,,35.997256386,-78.896113956
14052,,,,591 Main Street,,East Aurora,NY,East Aurora Co-op Market,(716) 655-2667,info@eastaurora.coop,,http://www.eastaurora.coop,https://www.ncg.coop/,42.770013159,-78.60612724
15208,,,,7516 Meade Street,,Pittsburgh,PA,East End Food Co-op,(412) 242-3598,,,http://www.eastendfood.coop,https://www.ncg.coop/,40.453798144,-79.89896004
48823,,,,4960 Northwind Drive,,EastLansing,MI,East Lansing Food Cooperative,517 337-1266,,,Food for change,,42.74411265,-84.474412325
55418,,,,2551 Old Central Avenue,,Minneapolis,MN,East Side Food Co-op,612 788-0950,,,Food for change,,45.020878099,-93.243488913
05674,,,,42 Roxbury Gap Road,,Warren,VT,East Warren Community Market,802 496-6758,,,Food for change,,44.114574503,-72.853716567
14052,,,,591MainStreet,,"East Aurora, New York",NY,EastAuroraCooperativeMarket,716-655-COOP(2667),http://eastaurora.coop/,,https://www.nationalco-opdirectory.com,,42.770013159,-78.60612724
15208,,,,7516MeadeSt,,Pittsburgh,PA,EastEndFoodCo-op,412-242-3598,http://www.eastendfood.coop,,https://www.nationalco-opdirectory.com,,40.453798144,-79.89896004
55418,,,,2551 Central Avenue N.E.,,Minneapolis,MN,Eastside Food Co-op,(612) 788-0950,,,http://www.eastsidefood.coop,https://www.ncg.coop/,45.020878099,-93.243488913
55418,,,,2551CentralAvenue,,Minneapolis,MN,EastsideFoodCooperative,612-788-0950,http://www.eastsidefood.coop,,https://www.nationalco-opdirectory.com,,45.020878099,-93.243488913
